#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
36,Matheus Yurley @UC-4kjzuh4822B9yPSgpZQgA,13.1M,0.3%,Brazil,,3.9M,Ei Nerd,14100000,4158368079,8461
37,Ei Nerd @UCt_4wzTQqmcUvemNkeO0plA,13M,-,Brazil,,3.9M,Everson Zoio,13100000,1038618179,627
38,Everson Zoio @UChPa3fnlI3RKuzEbeEPKRFw,12.9M,0.8%,Brazil,,3.9M,Peppa Pig em Português Brasil - Canal Oficial,16100000,6112538399,1997
39,Peppa Pig em Português Brasil - Canal Oficial @UCvD9GB-E4q_TuMpwUtFBhLA,12.8M,-,Brazil,,3.8M,Hungria,14200000,6032099178,329
40,Hungria Hip Hop @UCAI8SmRbXgSpP8Zo3xZbxzQ,12.7M,1.3%,Brazil,,3.8M,Crescendo com Luluca,16900000,6600274367,1869
41,Crescendo com Luluca @UCnrGkE2AmBAv6Vxj6kjf1jg,12.5M,0.3%,Brazil,,3.8M,Bispo Bruno Leonardo,55900000,8341928964,7617
42,Bispo Bruno Leonardo @UCVNouUw3d3l5JYVCxhAQXKA,12.5M,2.2%,Brazil,,3.8M,Parafernalha,12700000,4888803327,3060
43,Parafernalha @UCddYq41_tZ1FnLlguLT6-Ow,12.5M,-,Brazil,,3.8M,LOUD,13000000,2646103133,1535
44,LOUD @UC7iwNp4GUynlGXvK-6KD0Rw,12.4M,0.1%,Brazil,,3.7M,Bela Bagunça,12300000,2989274181,1534
45,Bela Bagunça @UChYWDADhmWJU6_X7Vm7FzDw,12.2M,-,Brazil,,3.7M,EU FICO LOKO,11500000,1188264528,1613
46,EU FICO LOKO @UCwQSkyrft0ohf-ra21yIs9Q,11.8M,-,Brazil,,3.5M,LipaoGamer,13400000,4924226393,12831
47,LipaoGamer @UCHuZmQ0lSW8TG81dVZZh5rw,11.8M,-,Brazil,,3.5M,Dani Russo Tv,11500000,617469325,291
48,Dani Russo Tv @UCgdnrd2Ae_H07_N8j1l18Xw,11.7M,0.1%,Brazil,,3.5M,SBT,13300000,4071310581,26893
49,SBT @UCR3TOnFWDeAlT-Ho6LueDmg,11.7M,-,Brazil,,3.5M,MC Divertida,18000000,8224186075,602
50,MC Divertida @UCllJguE1AIxYBmZJ8NUWiHg,11.7M,-,Brazil,,3.5M,Pastor Antônio Júnior,15600000,2932600236,7690
51,Pastor Antônio Júnior @UCKEM87jzVqdIfAdTr0xNBfA,11.5M,0.6%,Brazil,,3.5M,Simone e Simaria,11600000,5233731834,231
52,Simone e Simaria @UCSriAVggapS9Fb43fRB2vyQ,11.3M,0.2%,Brazil,,3.4M,Virgínia Fonseca,11900000,1590950555,1538
53,Virgínia Fonseca @UCsaB2VrLZrtGbum6Eo0ClbA,11.3M,-,Brazil,,3.4M,Coisa de Nerd,11100000,3561232597,2003
54,Coisa de Nerd @UCuxfOdbKQy0tgGXcm9sjHiw,11.1M,-,Brazil,,3.3M,Games EduUu,12400000,3643916118,1108
55,Games EduUu @UCYzp8-P162Em-3uZnCuGJOg,11M,1.2%,Brazil,,3.3M,Viih Tube,11200000,962448902,665
56,Viih Tube @UCl5i1KWUAV7hdT5_tL8l6RA,11M,-,Brazil,,3.3M,MILENINHA,12500000,5061310966,1155
57,Milena Stepanienco - MILENINHA @UCMQGjL7ft6aNLKPp5xN-P3A,10.8M,-,Brazil,,3.2M,Galo Frito,10900000,1991870351,665
58,Galo Frito @UCyb0T6J6nL5ibo0HLRMINKw,10.7M,-,Brazil,,3.2M,MUSSA,13300000,2333586760,606
59,Mussoumano @UC607Gii1uo93qDqiGR6-c3w,10.7M,0.7%,Brazil,,3.2M,Franciny Ehlke,11800000,1760885905,1207
60,Franciny Ehlke @UCoTM-vvs2hnv2mCvzNJ5uXA,10.6M,0.2%,Brazil,,3.2M,Lucas Rangel,12300000,2757260145,1066
61,Lucas Rangel @UCNmBUECIkUyPr2hxIAT3vzw,10.5M,-,Brazil,,3.2M,The Noite com Danilo Gentili,13200000,6028652187,15638
62,The Noite com Danilo Gentili @UCEWOoncsrmirqnFqxer9lmA,10.5M,0.1%,Brazil,,3.2M,Matheus e Kauan,11100000,9165503193,612
63,Matheus e Kauan @UC4WvVh0AwJ6K9w1JLepce7A,10.5M,-,Brazil,,3.2M,Lorrayne Oliveira,12100000,2698467265,1885
64,Lorrayne Oliveira @UC--FL6OwLFWGIZfLfazY4yA,10.4M,-,Brazil,,3.1M,Netflix Brasil,13800000,2435517198,6486
65,Netflix Brasil @UCc1l5mTmAv2GC_PXrBpqyKQ,10.3M,-,Brazil,,3.1M,PineappleStormTV,11600000,5980571230,395
66,PineappleStormTV @UCqrFwa5vueOTzGZ7NSlnvlQ,10.1M,0.5%,Brazil,,3M,BETO GAMER,10900000,3991790624,4293
67,BETO GAMER @UCPl_3zCQnCB4Iv79UD_i-5A,10M,-,Brazil,Video Gaming,3M,Receitas de Pai,12500000,1094213996,1266
68,Receitas de Pai @UCF5WzS-iBJRfp_EcFI-GT1w,10M,0.1%,Brazil,,3M,BIBI,10100000,1471596152,3269
69,BIBI @UCF5VmU9N3sqqVe-F6E4gewg,9.7M,-,Brazil,,2.9M,MALOUCOS,16500000,9360798372,1440
70,MALOUCOS @UCQ7VIoEXgNHBmXPoh002rlw,9.6M,-,Brazil,,2.9M,Garena Free Fire Brasil,10000000,1200182806,2461
71,Garena Free Fire Brasil @UCr4ARxgElIO21GWfIraZezg,9.5M,-,Brazil,,2.9M,COMÉDIA SELVAGEM,10100000,3585111448,1516
72,COMÉDIA SELVAGEM @UCrKj1r2Q7UIeltxsUneeZyQ,9.4M,0.6%,Brazil,,2.8M,Irmãos Berti,9450000,1587225296,2153
73,Irmãos Berti @UC6pImjv_fejsPD19uXU_V-A,9.4M,-,Brazil,,2.8M,Cátia Damasceno,10900000,806511384,1524
74,Cátia Damasceno @UCqV7ADkocFVOLxvPGqTEyDw,9.3M,0.1%,Brazil,,2.8M,FutParódias,10900000,5219308771,1182
75,FutParódias @UCGFNp4Pialo9wjT9Bo8wECA,9.3M,1%,Brazil,,2.8M,Love Funk,12800000,7617000399,2131
76,Love Funk @UC9OMsuaqvGdF0MtK3gYYNkA,9.3M,-,Brazil,,2.8M,Tauz Oficial,9320000,2512695645,184
