#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
54,Coisa de Nerd @UCuxfOdbKQy0tgGXcm9sjHiw,11.1M,-,Brazil,,3.3M,Coisa de Nerd,11100000,3561896944,2003
55,Games EduUu @UCYzp8-P162Em-3uZnCuGJOg,11M,1.2%,Brazil,,3.3M,Games EduUu,12400000,3644679999,1108
56,Viih Tube @UCl5i1KWUAV7hdT5_tL8l6RA,11M,-,Brazil,,3.3M,Viih Tube,11200000,962493477,665
57,Milena Stepanienco - MILENINHA @UCMQGjL7ft6aNLKPp5xN-P3A,10.8M,-,Brazil,,3.2M,MILENINHA,12500000,5063918161,1156
58,Galo Frito @UCyb0T6J6nL5ibo0HLRMINKw,10.7M,-,Brazil,,3.2M,Galo Frito,10900000,1992013991,667
59,Mussoumano @UC607Gii1uo93qDqiGR6-c3w,10.7M,0.7%,Brazil,,3.2M,MUSSA,13300000,2335432782,608
60,Franciny Ehlke @UCoTM-vvs2hnv2mCvzNJ5uXA,10.6M,0.2%,Brazil,,3.2M,Franciny Ehlke,11800000,1762830403,1207
61,Lucas Rangel @UCNmBUECIkUyPr2hxIAT3vzw,10.5M,-,Brazil,,3.2M,Lucas Rangel,12300000,2764615510,1066
62,The Noite com Danilo Gentili @UCEWOoncsrmirqnFqxer9lmA,10.5M,0.1%,Brazil,,3.2M,The Noite com Danilo Gentili,13200000,6035698863,15644
63,Matheus e Kauan @UC4WvVh0AwJ6K9w1JLepce7A,10.5M,-,Brazil,,3.2M,Matheus e Kauan,11100000,9165503193,612
64,Lorrayne Oliveira @UC--FL6OwLFWGIZfLfazY4yA,10.4M,-,Brazil,,3.1M,Lorrayne Oliveira,12100000,2702905565,1890
65,Netflix Brasil @UCc1l5mTmAv2GC_PXrBpqyKQ,10.3M,-,Brazil,,3.1M,Netflix Brasil,13800000,2439475887,6490
66,PineappleStormTV @UCqrFwa5vueOTzGZ7NSlnvlQ,10.1M,0.5%,Brazil,,3M,PineappleStormTV,11700000,5984004739,395
67,BETO GAMER @UCPl_3zCQnCB4Iv79UD_i-5A,10M,-,Brazil,Video Gaming,3M,BETO GAMER,10900000,3992446377,4296
68,Receitas de Pai @UCF5WzS-iBJRfp_EcFI-GT1w,10M,0.1%,Brazil,,3M,Receitas de Pai,12500000,1094822273,1267
69,BIBI @UCF5VmU9N3sqqVe-F6E4gewg,9.7M,-,Brazil,,2.9M,BIBI,10100000,1471627968,3270
70,MALOUCOS @UCQ7VIoEXgNHBmXPoh002rlw,9.6M,-,Brazil,,2.9M,MALOUCOS,16600000,9370037498,1440
71,Garena Free Fire Brasil @UCr4ARxgElIO21GWfIraZezg,9.5M,-,Brazil,,2.9M,Garena Free Fire Brasil,10000000,1200447389,2469
72,COMÉDIA SELVAGEM @UCrKj1r2Q7UIeltxsUneeZyQ,9.4M,0.6%,Brazil,,2.8M,COMÉDIA SELVAGEM,10100000,3586114547,1517
73,Irmãos Berti @UC6pImjv_fejsPD19uXU_V-A,9.4M,-,Brazil,,2.8M,Irmãos Berti,9450000,1587265655,2153
74,Cátia Damasceno @UCqV7ADkocFVOLxvPGqTEyDw,9.3M,0.1%,Brazil,,2.8M,Cátia Damasceno,10900000,806804092,1529
75,FutParódias @UCGFNp4Pialo9wjT9Bo8wECA,9.3M,1%,Brazil,,2.8M,FutParódias,10900000,5221840557,1185
76,Love Funk @UC9OMsuaqvGdF0MtK3gYYNkA,9.3M,-,Brazil,,2.8M,Love Funk,12800000,7623275890,2133
77,Tauz Oficial @UCfDPkUx9mG3IHBxYuPqgqAQ,9.3M,1.2%,Brazil,,2.8M,Tauz Oficial,9320000,2513039742,184
78,Muca Muriçoca @UCda7Fl9Q4wmqDqASRDqrVbA,9.2M,-,Brazil,,2.8M,Muca Muriçoca,9870000,1517919256,990
79,Maiara e Maraisa @UCULzCZWkkOb9dW8rr6dguQQ,9.2M,2.6%,Brazil,,2.8M,Maiara e Maraisa,10000000,7273541479,333
80,BRKsEDU @UCWKtHaeXVzUscYGcm0hEunw,9.2M,-,Brazil,,2.8M,BRKsEDU,9780000,2358271667,5297
81,Canal Top10 @UC9A70zHWT__VE5oWmTg2-xA,9.2M,-,Brazil,,2.7M,Canal Top10,9500000,958543907,592
82,EL GATO @UCZF-E96KcMU1GQGaV-R7_-A,9.2M,-,Brazil,,2.7M,EL GATO,9370000,651699451,363
83,Julia MineGirl @UCEOGSdXwcXcNfcuDGbjmgOw,9.1M,0.2%,Brazil,,2.7M,Julia MineGirl,11700000,8902308644,2597
84,TNT Sports Brasil @UCs-6sCz2LJm1PrWQN4ErsPw,9.1M,-,Brazil,,2.7M,TNT Sports Brasil,12100000,3640646684,11454
